user_id,job_id,compute_hours,storage_gb,queries_run,date,cloud_provider,region,profile,job_type,instance_type
96,job_18,1.04,122.14,393,2026-01-01,aws,us-west-2,low,batch,small
38,job_22,1.26,279.01,191,2026-01-01,gcp,us-west-2,low,batch,small
89,job_30,5.17,54.73,47,2026-01-01,azure,us-west-2,low,ad-hoc,small
187,job_35,2.46,348.48,284,2026-01-01,gcp,sa-east-1,low,batch,small
75,job_38,0.64,227.07,212,2026-01-01,azure,us-east-1,low,streaming,small
144,job_6,10.15,454.34,414,2026-01-01,azure,us-east-1,medium,ad-hoc,small
142,job_4,3.08,134.81,201,2026-01-01,gcp,us-west-2,low,streaming,medium
94,job_28,2.19,13.82,357,2026-01-01,gcp,us-east-1,low,batch,large
69,job_49,1.28,450.31,707,2026-01-01,azure,us-west-2,medium,streaming,large
66,job_21,2.57,317.28,360,2026-01-01,azure,us-west-2,low,ad-hoc,small
55,job_25,3.3,82.21,1944,2026-01-01,azure,us-east-1,high,batch,medium
125,job_4,0.79,311.26,84,2026-01-01,gcp,sa-east-1,low,streaming,medium
107,job_40,2.24,135.48,42,2026-01-01,aws,us-east-1,medium,streaming,small
167,job_13,1.33,110.82,164,2026-01-01,azure,us-west-2,low,streaming,medium
151,job_39,1.87,495.54,641,2026-01-01,azure,sa-east-1,medium,streaming,medium
167,job_15,2.63,214.07,237,2026-01-01,azure,us-west-2,low,streaming,large
171,job_10,2.03,271.01,51,2026-01-01,azure,us-west-2,low,streaming,small
180,job_49,0.42,297.42,997,2026-01-01,aws,sa-east-1,medium,streaming,large
107,job_10,20.25,436.87,755,2026-01-01,aws,us-east-1,medium,streaming,small
46,job_35,6.06,262.24,171,2026-01-01,gcp,sa-east-1,medium,batch,small
161,job_43,0.62,191.02,316,2026-01-01,gcp,us-west-2,low,batch,small
74,job_8,2.07,180.72,262,2026-01-01,azure,us-west-2,medium,batch,large
123,job_20,1.49,177.11,105,2026-01-01,azure,us-west-2,low,streaming,medium
33,job_16,2.89,489.12,716,2026-01-02,azure,sa-east-1,high,streaming,large
143,job_8,0.52,241.52,436,2026-01-02,azure,sa-east-1,low,batch,large
10,job_42,1.76,166.12,407,2026-01-02,gcp,us-east-1,low,ad-hoc,small
148,job_29,2.19,229.68,408,2026-01-02,gcp,us-west-2,low,streaming,small
178,job_19,0.56,114.62,132,2026-01-02,azure,us-east-1,low,ad-hoc,large
146,job_10,2.5,511.49,404,2026-01-02,gcp,us-east-1,high,streaming,small
107,job_9,2.05,70.33,80,2026-01-02,aws,us-east-1,medium,ad-hoc,large
33,job_13,1.26,230.42,826,2026-01-02,azure,sa-east-1,high,streaming,medium
192,job_2,3.68,32.78,1058,2026-01-02,azure,sa-east-1,high,batch,large
57,job_33,1.04,159.07,322,2026-01-02,gcp,us-west-2,low,streaming,medium
138,job_48,2.89,140.66,429,2026-01-02,gcp,us-west-2,medium,batch,large
199,job_31,4.66,30.61,493,2026-01-02,azure,sa-east-1,medium,batch,small
2,job_49,2.45,55.95,116,2026-01-02,aws,us-west-2,low,streaming,large
41,job_47,6.87,420.07,531,2026-01-02,aws,us-east-1,medium,streaming,medium
192,job_1,6.38,43.93,212,2026-01-02,azure,sa-east-1,high,ad-hoc,small
55,job_50,11.97,246.1,1358,2026-01-02,azure,us-east-1,high,ad-hoc,medium
160,job_9,0.76,193.61,1644,2026-01-02,gcp,us-east-1,high,ad-hoc,large
197,job_40,7.25,370.26,790,2026-01-02,gcp,us-west-2,high,streaming,small
151,job_16,0.41,193.88,145,2026-01-02,azure,sa-east-1,medium,streaming,large
43,job_7,3.97,548.66,674,2026-01-02,gcp,sa-east-1,high,ad-hoc,medium
146,job_32,13.4,202.37,900,2026-01-02,gcp,us-east-1,high,streaming,medium
128,job_28,0.99,196.62,27,2026-01-02,aws,us-west-2,low,batch,large
137,job_47,0.6,308.57,278,2026-01-02,azure,us-east-1,medium,streaming,medium
108,job_45,3.91,452.77,980,2026-01-02,gcp,sa-east-1,high,ad-hoc,small
43,job_20,13.21,245.19,164,2026-01-02,gcp,sa-east-1,high,streaming,medium
161,job_34,0.18,86.84,236,2026-01-02,gcp,us-west-2,low,ad-hoc,large
197,job_13,6.15,357.49,1564,2026-01-02,gcp,us-west-2,high,streaming,medium
81,job_13,1.92,320.27,101,2026-01-02,gcp,sa-east-1,low,streaming,medium
15,job_15,5.93,300.2,546,2026-01-02,azure,us-west-2,medium,streaming,large
190,job_18,1.09,505.51,402,2026-01-02,gcp,us-east-1,high,batch,small
119,job_49,6.96,57.51,36,2026-01-02,gcp,us-west-2,low,streaming,large
61,job_13,1.39,17.71,119,2026-01-02,azure,us-east-1,low,streaming,medium
26,job_20,0.27,32.8,476,2026-01-02,aws,us-west-2,low,streaming,medium
176,job_5,1.8,90.3,416,2026-01-02,aws,us-west-2,low,streaming,large
57,job_14,6.66,43.63,415,2026-01-02,gcp,us-west-2,low,streaming,small
90,job_38,0.52,58.6,336,2026-01-02,aws,sa-east-1,low,streaming,small
55,job_22,4.18,598.97,1888,2026-01-02,azure,us-east-1,high,batch,small
16,job_1,2.01,55.48,98,2026-01-02,aws,us-west-2,low,ad-hoc,small
178,job_6,1.09,14.0,486,2026-01-02,azure,us-east-1,low,ad-hoc,small
132,job_1,3.41,404.17,945,2026-01-02,aws,us-east-1,medium,ad-hoc,small
25,job_47,7.26,307.37,56,2026-01-02,aws,us-east-1,medium,streaming,medium
74,job_30,2.38,317.22,607,2026-01-02,azure,us-west-2,medium,ad-hoc,small
120,job_49,13.3,469.69,1302,2026-01-02,azure,us-west-2,high,streaming,large
99,job_24,0.29,307.95,418,2026-01-02,aws,us-west-2,low,batch,small
59,job_40,0.82,107.81,95,2026-01-02,gcp,sa-east-1,low,streaming,small
44,job_28,7.86,288.21,28,2026-01-02,aws,us-west-2,medium,batch,large
79,job_47,11.9,165.44,141,2026-01-02,gcp,us-east-1,low,streaming,medium
155,job_50,0.68,301.17,415,2026-01-02,aws,us-east-1,low,ad-hoc,medium
89,job_38,2.47,94.4,35,2026-01-02,azure,us-west-2,low,streaming,small
173,job_34,1.73,279.94,111,2026-01-02,gcp,sa-east-1,low,ad-hoc,large
13,job_9,0.04,123.67,245,2026-01-03,aws,sa-east-1,low,ad-hoc,large
190,job_9,1.25,312.32,728,2026-01-03,gcp,us-east-1,high,ad-hoc,large
142,job_45,5.55,305.14,446,2026-01-03,gcp,us-west-2,low,ad-hoc,small
159,job_46,1.22,187.15,294,2026-01-03,aws,us-west-2,low,batch,small
62,job_17,5.04,233.4,340,2026-01-03,aws,us-west-2,low,batch,small
141,job_36,0.41,207.6,298,2026-01-03,gcp,us-east-1,low,ad-hoc,small
39,job_7,0.79,385.92,75,2026-01-03,aws,sa-east-1,medium,ad-hoc,medium
27,job_19,1.22,246.47,482,2026-01-03,aws,us-west-2,medium,ad-hoc,large
46,job_49,4.74,383.9,310,2026-01-03,gcp,sa-east-1,medium,streaming,large
141,job_34,2.18,287.27,66,2026-01-03,gcp,us-east-1,low,ad-hoc,large
68,job_21,2.51,460.32,674,2026-01-03,azure,sa-east-1,medium,ad-hoc,small
197,job_21,19.67,18.51,514,2026-01-03,gcp,us-west-2,high,ad-hoc,small
22,job_25,13.19,118.26,249,2026-01-03,aws,sa-east-1,medium,batch,medium
76,job_7,4.05,400.67,707,2026-01-03,azure,us-east-1,medium,ad-hoc,medium
153,job_18,0.43,260.49,443,2026-01-03,gcp,sa-east-1,low,batch,small
96,job_8,0.17,302.0,235,2026-01-03,aws,us-west-2,low,batch,large
10,job_45,18.59,184.74,469,2026-01-03,gcp,us-east-1,low,ad-hoc,small
128,job_7,0.49,241.92,175,2026-01-03,aws,us-west-2,low,ad-hoc,medium
125,job_38,0.97,110.12,117,2026-01-03,gcp,sa-east-1,low,streaming,small
98,job_47,0.6,253.77,91,2026-01-03,gcp,us-west-2,low,streaming,medium
189,job_13,1.01,218.52,137,2026-01-03,azure,us-east-1,low,streaming,medium
63,job_47,5.21,160.99,186,2026-01-03,azure,sa-east-1,low,streaming,medium
149,job_6,0.06,229.26,306,2026-01-03,aws,us-east-1,low,ad-hoc,small
136,job_21,0.56,122.5,262,2026-01-03,gcp,us-east-1,low,ad-hoc,small
177,job_23,0.71,322.96,270,2026-01-03,gcp,us-east-1,low,batch,large
101,job_29,0.89,270.08,398,2026-01-03,gcp,sa-east-1,medium,streaming,small
27,job_13,2.76,329.28,260,2026-01-03,aws,us-west-2,medium,streaming,medium
135,job_30,0.55,18.59,240,2026-01-03,gcp,sa-east-1,low,ad-hoc,small
104,job_49,21.7,589.32,1060,2026-01-03,aws,us-east-1,high,streaming,large
107,job_35,0.79,28.84,846,2026-01-03,aws,us-east-1,medium,batch,small
184,job_3,1.69,304.95,160,2026-01-03,aws,us-west-2,low,batch,small
152,job_45,0.05,54.6,449,2026-01-03,aws,us-east-1,low,ad-hoc,small
179,job_27,3.33,166.78,289,2026-01-03,aws,us-east-1,low,batch,small
87,job_28,0.01,100.96,20,2026-01-03,gcp,us-east-1,low,batch,large
186,job_16,8.96,706.67,1488,2026-01-03,aws,us-west-2,high,streaming,large
183,job_33,3.87,728.98,538,2026-01-03,azure,us-east-1,high,streaming,medium
167,job_40,1.29,336.85,127,2026-01-03,azure,us-west-2,low,streaming,small
167,job_30,1.38,349.35,334,2026-01-03,azure,us-west-2,low,ad-hoc,small
195,job_38,1.34,199.68,30,2026-01-03,gcp,us-east-1,low,streaming,small
129,job_46,1.79,88.04,140,2026-01-03,gcp,us-east-1,low,batch,small
129,job_25,0.49,266.54,493,2026-01-03,gcp,us-east-1,low,batch,medium
14,job_47,5.04,423.2,16,2026-01-03,gcp,us-east-1,medium,streaming,medium
110,job_38,2.93,145.83,121,2026-01-03,azure,us-east-1,low,streaming,small
72,job_23,1.17,6.25,185,2026-01-03,azure,us-west-2,low,batch,large
98,job_41,1.41,105.9,263,2026-01-03,gcp,us-west-2,low,streaming,large
127,job_43,1.55,263.0,1166,2026-01-03,gcp,us-east-1,high,batch,small
40,job_4,1.82,260.33,761,2026-01-03,gcp,sa-east-1,medium,streaming,medium
186,job_49,19.63,479.45,938,2026-01-03,aws,us-west-2,high,streaming,large
100,job_12,7.54,264.1,30,2026-01-03,aws,us-west-2,medium,batch,small
131,job_21,2.62,611.56,1888,2026-01-03,gcp,us-east-1,high,ad-hoc,small
194,job_1,11.69,233.25,860,2026-01-03,aws,us-east-1,high,ad-hoc,small
149,job_46,4.41,308.23,121,2026-01-03,aws,us-east-1,low,batch,small
112,job_44,4.76,362.89,91,2026-01-03,azure,sa-east-1,medium,batch,medium
171,job_47,0.72,315.67,193,2026-01-03,azure,us-west-2,low,streaming,medium
181,job_8,6.1,95.29,424,2026-01-03,aws,us-west-2,medium,batch,large
140,job_17,4.46,327.42,499,2026-01-03,aws,us-west-2,medium,batch,small
21,job_50,5.91,210.76,294,2026-01-03,aws,us-east-1,medium,ad-hoc,medium
80,job_26,1.27,497.86,915,2026-01-03,azure,us-east-1,medium,batch,large
162,job_42,1.49,292.95,193,2026-01-03,gcp,sa-east-1,low,ad-hoc,small
110,job_40,0.34,306.58,348,2026-01-03,azure,us-east-1,low,streaming,small
57,job_1,4.76,118.12,42,2026-01-03,gcp,us-west-2,low,ad-hoc,small
70,job_2,0.46,68.03,178,2026-01-04,aws,us-east-1,high,batch,large
115,job_21,10.65,641.73,1658,2026-01-04,aws,sa-east-1,high,ad-hoc,small
86,job_16,35.98,123.3,1276,2026-01-04,azure,sa-east-1,high,streaming,large
36,job_26,1.41,331.46,343,2026-01-04,azure,us-west-2,low,batch,large
183,job_36,34.07,715.2,922,2026-01-04,azure,us-east-1,high,ad-hoc,small
33,job_11,6.39,91.98,782,2026-01-04,azure,sa-east-1,high,streaming,small
127,job_25,1.58,489.34,1480,2026-01-04,gcp,us-east-1,high,batch,medium
139,job_15,2.54,60.3,142,2026-01-04,gcp,us-east-1,medium,streaming,large
162,job_14,0.78,327.72,473,2026-01-04,gcp,sa-east-1,low,streaming,small
148,job_29,1.17,133.72,53,2026-01-04,gcp,us-west-2,low,streaming,small
16,job_45,0.01,245.89,466,2026-01-04,aws,us-west-2,low,ad-hoc,small
80,job_20,7.74,441.72,69,2026-01-04,azure,us-east-1,medium,streaming,medium
136,job_39,0.7,36.44,146,2026-01-04,gcp,us-east-1,low,streaming,medium
54,job_47,0.51,61.01,205,2026-01-04,aws,us-east-1,low,streaming,medium
160,job_43,0.46,234.16,1992,2026-01-04,gcp,us-east-1,high,batch,small
163,job_31,0.6,474.67,1416,2026-01-04,azure,us-west-2,high,batch,small
81,job_16,0.32,168.44,179,2026-01-04,gcp,sa-east-1,low,streaming,large
189,job_21,0.29,159.38,424,2026-01-04,azure,us-east-1,low,ad-hoc,small
170,job_41,3.86,282.49,845,2026-01-04,azure,sa-east-1,medium,streaming,large
159,job_23,10.81,335.97,480,2026-01-04,aws,us-west-2,low,batch,large
35,job_38,7.45,301.42,446,2026-01-04,gcp,us-east-1,low,streaming,small
45,job_45,2.48,292.01,657,2026-01-04,aws,us-east-1,medium,ad-hoc,small
160,job_17,9.31,29.03,36,2026-01-04,gcp,us-east-1,high,batch,small
61,job_17,1.61,271.54,57,2026-01-04,azure,us-east-1,low,batch,small
183,job_15,2.88,82.22,1110,2026-01-04,azure,us-east-1,high,streaming,large
132,job_14,2.42,444.98,910,2026-01-04,aws,us-east-1,medium,streaming,small
160,job_6,0.47,370.66,412,2026-01-04,gcp,us-east-1,high,ad-hoc,small
94,job_28,0.73,318.9,464,2026-01-04,gcp,us-east-1,low,batch,large
32,job_8,3.74,479.25,1178,2026-01-04,gcp,us-east-1,high,batch,large
181,job_16,1.75,219.36,460,2026-01-04,aws,us-west-2,medium,streaming,large
123,job_5,1.34,290.52,481,2026-01-04,azure,us-west-2,low,streaming,large
64,job_10,0.47,134.38,907,2026-01-04,azure,sa-east-1,medium,streaming,small
36,job_14,7.09,143.41,68,2026-01-04,azure,us-west-2,low,streaming,small
199,job_18,0.39,300.62,141,2026-01-04,azure,sa-east-1,medium,batch,small
9,job_48,0.99,173.43,310,2026-01-04,gcp,us-east-1,low,batch,large
115,job_16,7.66,734.67,142,2026-01-04,aws,sa-east-1,high,streaming,large
169,job_47,6.94,484.82,327,2026-01-04,aws,us-west-2,medium,streaming,medium
144,job_28,0.36,107.5,660,2026-01-04,azure,us-east-1,medium,batch,large
46,job_13,2.65,384.42,642,2026-01-04,gcp,sa-east-1,medium,streaming,medium
159,job_49,2.0,32.93,151,2026-01-04,aws,us-west-2,low,streaming,large
18,job_7,0.05,148.37,145,2026-01-04,azure,sa-east-1,low,ad-hoc,medium
170,job_37,2.95,126.02,534,2026-01-04,azure,sa-east-1,medium,batch,medium
56,job_33,0.55,280.44,42,2026-01-04,gcp,sa-east-1,medium,streaming,medium
14,job_33,0.7,493.64,550,2026-01-04,gcp,us-east-1,medium,streaming,medium
76,job_23,4.99,78.07,587,2026-01-04,azure,us-east-1,medium,batch,large
134,job_16,6.13,347.85,142,2026-01-04,azure,sa-east-1,low,streaming,large
125,job_29,6.89,201.96,335,2026-01-04,gcp,sa-east-1,low,streaming,small
12,job_24,0.2,111.21,492,2026-01-04,gcp,us-east-1,low,batch,small
18,job_33,1.3,229.6,403,2026-01-04,azure,sa-east-1,low,streaming,medium
109,job_28,0.31,639.67,110,2026-01-05,aws,sa-east-1,high,batch,large
33,job_40,10.69,693.83,1986,2026-01-05,azure,sa-east-1,high,streaming,small
109,job_48,0.7,601.68,258,2026-01-05,aws,sa-east-1,high,batch,large
117,job_18,1.63,306.09,717,2026-01-05,aws,us-west-2,medium,batch,small
164,job_31,2.27,684.3,1906,2026-01-05,azure,us-west-2,high,batch,small
137,job_28,5.15,326.35,242,2026-01-05,azure,us-east-1,medium,batch,large
187,job_46,1.74,190.11,446,2026-01-05,gcp,sa-east-1,low,batch,small
35,job_48,5.65,60.37,115,2026-01-05,gcp,us-east-1,low,batch,large
31,job_11,2.44,330.88,318,2026-01-05,azure,sa-east-1,low,streaming,small
33,job_13,2.02,672.53,778,2026-01-05,azure,sa-east-1,high,streaming,medium
72,job_1,3.55,97.18,30,2026-01-05,azure,us-west-2,low,ad-hoc,small
94,job_35,0.09,345.56,354,2026-01-05,gcp,us-east-1,low,batch,small
63,job_24,0.79,209.79,135,2026-01-05,azure,sa-east-1,low,batch,small
85,job_24,11.17,633.54,1286,2026-01-05,aws,us-east-1,high,batch,small
181,job_46,2.88,104.43,148,2026-01-05,aws,us-west-2,medium,batch,small
12,job_25,0.06,345.49,127,2026-01-05,gcp,us-east-1,low,batch,medium
116,job_27,0.28,327.58,18,2026-01-05,azure,us-west-2,low,batch,small
91,job_49,2.18,130.34,226,2026-01-05,aws,us-west-2,low,streaming,large
49,job_34,5.5,327.16,21,2026-01-05,azure,us-west-2,low,ad-hoc,large
17,job_8,2.82,292.24,286,2026-01-05,azure,us-west-2,medium,batch,large
139,job_4,6.87,222.62,80,2026-01-05,gcp,us-east-1,medium,streaming,medium
15,job_29,3.03,124.61,612,2026-01-05,azure,us-west-2,medium,streaming,small
84,job_40,1.95,222.2,242,2026-01-05,aws,us-west-2,low,streaming,small
18,job_24,1.3,39.22,171,2026-01-05,azure,sa-east-1,low,batch,small
85,job_37,2.35,366.03,1326,2026-01-05,aws,us-east-1,high,batch,medium
112,job_43,1.44,223.65,695,2026-01-05,azure,sa-east-1,medium,batch,small
62,job_11,0.08,118.66,25,2026-01-05,aws,us-west-2,low,streaming,small
165,job_41,0.02,268.36,358,2026-01-05,azure,sa-east-1,high,streaming,large
10,job_47,2.9,235.69,481,2026-01-05,gcp,us-east-1,low,streaming,medium
21,job_41,0.37,280.4,974,2026-01-05,aws,us-east-1,medium,streaming,large
24,job_50,0.29,429.53,1608,2026-01-05,azure,us-west-2,high,ad-hoc,medium
132,job_38,1.22,370.62,555,2026-01-05,aws,us-east-1,medium,streaming,small
63,job_47,3.64,343.19,165,2026-01-05,azure,sa-east-1,low,streaming,medium
75,job_42,0.14,137.33,77,2026-01-05,azure,us-east-1,low,ad-hoc,small
194,job_41,6.82,744.6,690,2026-01-05,aws,us-east-1,high,streaming,large
162,job_10,1.38,105.12,319,2026-01-05,gcp,sa-east-1,low,streaming,small
147,job_38,0.37,339.31,255,2026-01-05,gcp,us-east-1,low,streaming,small
128,job_40,2.59,211.43,145,2026-01-05,aws,us-west-2,low,streaming,small
56,job_16,0.35,483.41,319,2026-01-05,gcp,sa-east-1,medium,streaming,large
113,job_34,1.9,95.21,88,2026-01-05,aws,sa-east-1,low,ad-hoc,large
88,job_47,1.9,279.31,491,2026-01-05,aws,us-west-2,low,streaming,medium
45,job_29,0.41,247.74,908,2026-01-05,aws,us-east-1,medium,streaming,small
168,job_6,1.66,68.03,232,2026-01-05,aws,sa-east-1,low,ad-hoc,small
122,job_30,3.8,737.3,1920,2026-01-05,gcp,sa-east-1,high,ad-hoc,small
29,job_49,0.84,222.82,246,2026-01-05,gcp,sa-east-1,low,streaming,large
144,job_18,8.23,173.54,242,2026-01-05,azure,us-east-1,medium,batch,small
17,job_3,2.87,493.61,555,2026-01-05,azure,us-west-2,medium,batch,small
183,job_15,5.21,728.32,1490,2026-01-05,azure,us-east-1,high,streaming,large
103,job_10,0.02,172.22,981,2026-01-05,gcp,us-east-1,medium,streaming,small
162,job_21,0.01,191.87,374,2026-01-05,gcp,sa-east-1,low,ad-hoc,small
198,job_7,5.8,448.91,387,2026-01-05,gcp,sa-east-1,medium,ad-hoc,medium
193,job_26,2.31,242.47,174,2026-01-05,aws,us-east-1,medium,batch,large
102,job_3,12.35,394.12,1198,2026-01-05,gcp,us-east-1,high,batch,small
162,job_17,0.57,344.63,217,2026-01-05,gcp,sa-east-1,low,batch,small
112,job_38,0.21,479.11,302,2026-01-05,azure,sa-east-1,medium,streaming,small
119,job_50,2.87,205.12,352,2026-01-05,gcp,us-west-2,low,ad-hoc,medium
107,job_49,7.41,307.12,376,2026-01-05,aws,us-east-1,medium,streaming,large
146,job_3,2.67,729.73,1492,2026-01-05,gcp,us-east-1,high,batch,small
137,job_2,18.51,176.01,503,2026-01-05,azure,us-east-1,medium,batch,large
32,job_8,3.14,83.0,1362,2026-01-05,gcp,us-east-1,high,batch,large
2,job_2,0.62,324.88,251,2026-01-05,aws,us-west-2,low,batch,large
142,job_22,2.28,276.05,274,2026-01-05,gcp,us-west-2,low,batch,small
54,job_21,0.74,8.39,23,2026-01-06,aws,us-east-1,low,ad-hoc,small
147,job_43,1.14,205.54,246,2026-01-06,gcp,us-east-1,low,batch,small
149,job_48,3.36,163.58,438,2026-01-06,aws,us-east-1,low,batch,large
143,job_23,0.48,118.92,447,2026-01-06,azure,sa-east-1,low,batch,large
13,job_50,1.1,199.62,123,2026-01-06,aws,sa-east-1,low,ad-hoc,medium
163,job_26,0.05,341.95,1550,2026-01-06,azure,us-west-2,high,batch,large
173,job_17,1.82,96.88,352,2026-01-06,gcp,sa-east-1,low,batch,small
180,job_6,4.02,368.79,533,2026-01-06,aws,sa-east-1,medium,ad-hoc,small
141,job_12,2.46,26.29,12,2026-01-06,gcp,us-east-1,low,batch,small
128,job_35,6.27,181.99,432,2026-01-06,aws,us-west-2,low,batch,small
22,job_10,10.14,93.91,252,2026-01-06,aws,sa-east-1,medium,streaming,small
97,job_5,4.27,48.58,1716,2026-01-06,aws,us-west-2,high,streaming,large
74,job_1,3.62,358.78,804,2026-01-06,azure,us-west-2,medium,ad-hoc,small
164,job_42,1.18,29.25,20,2026-01-06,azure,us-west-2,high,ad-hoc,small
17,job_3,0.11,427.07,27,2026-01-06,azure,us-west-2,medium,batch,small
187,job_41,1.8,11.62,364,2026-01-06,gcp,sa-east-1,low,streaming,large
51,job_19,0.42,11.31,398,2026-01-06,azure,sa-east-1,low,ad-hoc,large
98,job_22,0.76,167.89,162,2026-01-06,gcp,us-west-2,low,batch,small
70,job_38,0.87,352.15,356,2026-01-06,aws,us-east-1,high,streaming,small
177,job_41,0.56,60.44,253,2026-01-06,gcp,us-east-1,low,streaming,large
114,job_49,0.29,249.51,862,2026-01-06,gcp,us-west-2,high,streaming,large
130,job_29,3.05,454.99,1434,2026-01-06,azure,sa-east-1,high,streaming,small
172,job_26,4.14,200.27,1702,2026-01-06,azure,sa-east-1,high,batch,large
155,job_11,0.3,39.52,259,2026-01-06,aws,us-east-1,low,streaming,small
87,job_46,2.07,26.17,333,2026-01-06,gcp,us-east-1,low,batch,small
149,job_44,1.44,60.77,494,2026-01-06,aws,us-east-1,low,batch,medium
175,job_17,4.5,83.12,443,2026-01-06,gcp,us-west-2,low,batch,small
9,job_24,3.74,76.52,491,2026-01-06,gcp,us-east-1,low,batch,small
184,job_33,1.59,212.69,347,2026-01-06,aws,us-west-2,low,streaming,medium
96,job_11,1.15,339.89,375,2026-01-06,aws,us-west-2,low,streaming,small
111,job_36,1.58,60.31,193,2026-01-06,gcp,us-east-1,low,ad-hoc,small
40,job_44,4.41,55.27,333,2026-01-06,gcp,sa-east-1,medium,batch,medium
99,job_48,3.4,161.76,130,2026-01-06,aws,us-west-2,low,batch,large
117,job_20,1.65,94.69,112,2026-01-06,aws,us-west-2,medium,streaming,medium
40,job_20,18.17,70.66,582,2026-01-06,gcp,sa-east-1,medium,streaming,medium
171,job_46,0.79,152.43,485,2026-01-06,azure,us-west-2,low,batch,small
189,job_18,1.43,187.58,91,2026-01-06,azure,us-east-1,low,batch,small
184,job_47,4.72,273.68,203,2026-01-06,aws,us-west-2,low,streaming,medium
50,job_7,1.71,265.98,156,2026-01-06,azure,sa-east-1,medium,ad-hoc,medium
111,job_17,5.71,267.21,42,2026-01-06,gcp,us-east-1,low,batch,small
69,job_14,0.08,415.39,111,2026-01-06,azure,us-west-2,medium,streaming,small
151,job_6,3.25,431.11,582,2026-01-06,azure,sa-east-1,medium,ad-hoc,small
74,job_34,0.79,480.49,557,2026-01-06,azure,us-west-2,medium,ad-hoc,large
107,job_31,1.97,483.06,774,2026-01-06,aws,us-east-1,medium,batch,small
44,job_36,4.96,435.5,663,2026-01-06,aws,us-west-2,medium,ad-hoc,small
68,job_22,4.11,455.67,113,2026-01-06,azure,sa-east-1,medium,batch,small
106,job_3,1.03,278.73,58,2026-01-06,gcp,us-west-2,low,batch,small
46,job_18,0.06,240.79,590,2026-01-06,gcp,sa-east-1,medium,batch,small
99,job_13,1.33,258.76,241,2026-01-06,aws,us-west-2,low,streaming,medium
163,job_6,16.73,183.89,534,2026-01-06,azure,us-west-2,high,ad-hoc,small
128,job_25,0.14,275.51,395,2026-01-06,aws,us-west-2,low,batch,medium
150,job_31,3.91,406.94,536,2026-01-07,aws,sa-east-1,medium,batch,small
164,job_12,9.73,12.94,1072,2026-01-07,azure,us-west-2,high,batch,small
70,job_32,0.93,521.77,1624,2026-01-07,aws,us-east-1,high,streaming,medium
72,job_4,1.19,85.55,358,2026-01-07,azure,us-west-2,low,streaming,medium
187,job_2,1.82,283.27,343,2026-01-07,gcp,sa-east-1,low,batch,large
104,job_33,10.7,130.29,1100,2026-01-07,aws,us-east-1,high,streaming,medium
111,job_41,5.31,26.78,97,2026-01-07,gcp,us-east-1,low,streaming,large
82,job_3,0.2,227.14,388,2026-01-07,aws,sa-east-1,medium,batch,small
8,job_33,1.92,217.83,969,2026-01-07,azure,sa-east-1,medium,streaming,medium
142,job_35,2.34,316.92,498,2026-01-07,gcp,us-west-2,low,batch,small
